Ticket id,Interaction id,Ticket Summary,Interaction content,Type 1,Type 2,Type 3,Type 4,hierarchical_label
24310,68365,[HUAWEI Music] Problems and Suggestions,MXXXXXXXXXXCOM Sent from my phone Huawei,AppGallery ,Others,Unknown,Unknown,AppGallery  > Others > Unknown > Unknown
24075,67730,[AppGallery]Probleme und Vorschläge,Description update cannot be installed contact information SXXXXXXXXCCOMDEPTION UPDATE BE Installed Contact SXXXXXXXXCOM DESCRIPTION UPDATE BE Installed Contact Sxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,AppGallery  > Problem/Fault > AppGallery-Install/Upgrade > Can't update Apps
24075,67762,Re: RE : [AppGallery]Probleme und Vorschläge Re: RE : [AppGallery]Problems and Suggestions,"Thanks after reinstalling the app, everything works perfectly MfG ***** (per) wrote on Thursday, 8th Sep.***** (Phone), 2042: Dear customer, thank you for making contact with Aspiegel.We hope you are doing well.In order to be able to offer you the best solution, we ask you to clarify your request with the following information: 1. A description of the problem 2. A screenshot or a video recording of error 3. When the problem occurred 4. Your Huaweid: appOpen galleryhms and then make a screenshot 5. Your mobile phone model 6. Sn number of your device 7. Version of the Appgalerie: Huawei Appgaleriemich> About 8. HMS Core version: Huawei Appgalerie Kerne> Settings> About 9. Related app 10. Version of related app 11.The AppGalerie protocol If you have any further questions, please answer this email thread and we will be happy to help you.Sincerely, ***** (per)",AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps,AppGallery  > Problem/Fault > AppGallery-Install/Upgrade > Can't update Apps
23748,66706,[AppGallery]Problems and suggestions,Description . Contact information Axxxxxxxxxcom,AppGallery ,Suggestion,AppGallery-Use,Others,AppGallery  > Suggestion > AppGallery-Use > Others
23740,66684,Unknown,I paid but lapplication did not work I can be reimbursed.Thanks I have I Paid But the Application Did Not Work Can I Be Refunded.THANK YOU,AppGallery ,Problem/Fault,Third Party APPs,Refund,AppGallery  > Problem/Fault > Third Party APPs > Refund
23683,66429,Aspiegel Support issue submit,"Product: AppGallery & Games Requests: Using AppGallery (ie. manage service country) Contact Full Name: Inês Lavrador Ramos Phone Number: +*****(PHONE) Contact Email Address: xxxxxxxxxcom Summary of the issue: Good morning! I would like to know how I can use a voucher that I won on app gallery since the store now was put together with other store, and I still have the voucher to use! thanks in advance! Home | News | Events | Products | Partners | Support Copyright Aspiegel SE",AppGallery ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,AppGallery  > Suggestion > VIP / Offers / Promotions > Offers / Vouchers / Promotions
23683,67433,Re: RE : Aspiegel Support issue submit,"Hello , good morning! So the campaign name was ""XMAS download and win play PT"" as you will see in the screenshot I will send you, and I won a voucher to use it in a online store called ""*****(PERSON)"" but now ""*****(PERSON)"" is a part of other companystore called ""*****(PERSON)"" And whats my Huawei Id service country? Thanks in advance! A ter, 6 de set de *****(PHONE), 1216, escreveu: Dear Customer, Thank you for contacting *****(PERSON). We hope youre doing well. This email is regarding your concern about *****(PERSON) worry I will do my best to solve your problem as soon as possible. In order to analyze your case in detail I will need the following information from you: Error screenshot The name of the champagne you have attended Your Huawei Id Service country We would greatly appreciate your feedback regarding our email exchange, as we need your input to keep improving our service. Therefore, we invite you to fill in the survey that will soon arrive on the email address you used to contact us. If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Silvia *****(PERSON)",AppGallery ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,AppGallery  > Suggestion > VIP / Offers / Promotions > Offers / Vouchers / Promotions
23683,67516,Re: RE : Aspiegel Support issue submit,"I have to an account there?So I Dont Speak German!Escreveu No Dia Quinta, 809/***** (Phone) às) 1208: Dear customer, we recommend that you contact us directly from your computer via the Discord Canal https: // Discordggtkyzc5cagu.***** (person) to use Discord, or if you prefer that we will edit the case, please give us the following information for further examinations: - Your Service APPGALLERY> ITE> Land - Your discord contact information,If applicable if you have any further questions, please answer this email and we will be happy to help you with your doubts.***** (person), Andrea ***** (person)",AppGallery ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,AppGallery  > Suggestion > VIP / Offers / Promotions > Offers / Vouchers / Promotions
23683,67915,Re: RE : Aspiegel Support issue submit,"Sure, the country of my app gallery and my country is Portugal! I cant enter on discord sorry, I dont understand it! A qui, 8 de set de *****(PHONE), 1307, escreveu: Dear Customer, This email is regarding your concern about *****(PERSON) voucher. We recommend that you contact us through the Discord channel https://discordggtkYZC5CAGu directly from your computer. If you are having difficulty using Discord, or if you prefer us to handle the case, please provide us with the following information for further investigation: - Your country of service AppGallery> Me> Settings> Country. - Your Discord contact information, if applicable. If you have any further questions, please reply to this eMail and we will be happy to help you with your doubts. Sincerely, Andrea *****(PERSON)",AppGallery ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions,AppGallery  > Suggestion > VIP / Offers / Promotions > Offers / Vouchers / Promotions
23624,66266,[GameCentre]Problems and suggestions,Description No Moontoon Contact information xxxxxxxxxcom,AppGallery ,Problem/Fault,AppGallery-Install/Upgrade,Can't download Apps,AppGallery  > Problem/Fault > AppGallery-Install/Upgrade > Can't download Apps
