Ticket id,Interaction id,Ticket Summary,Interaction content,Type 1,Type 2,Type 3,Type 4
24525,69022,Payment of 40 euros,"TO WHOM IT MAY CONCERN, I AM SO CONFUSED WITH A PAYMENT YOU CASHED OUT OF MY PAYPAL ACCOUNT, I WANT TO CANCLE ANY SUBMISSIONS THAT I HAD WITH YOU WHICH I DON'T REMEMBER ANY, PLEASE REFUND ME ASAP!!!!!",Purchasing,Suggestion,Payment,Subscription cancellation
24525,69022,Payment of 40 euros,"TO WHOM IT MAY CONCERN, I AM SO CONFUSED WITH A PAYMENT YOU CASHED OUT OF MY PAYPAL ACCOUNT, I WANT TO CANCLE ANY SUBMISSIONS THAT I HAD WITH YOU WHICH I DON'T REMEMBER ANY, PLEASE REFUND ME ASAP!!!!!",Purchasing,Suggestion,Refund,Within 14 days of purchase (not product issue)
24496,68891,Résiliation de l’abonnement ,Hello would you have the opportunity to terminate the Cause subscription I no longer have the laptop.Thank you cordially sent from my iPhonei Have Been Looking for a Phone to Call me for a While and I Have Been Trying To Find A Way to Get It.Thank You.Feels from my iPhone,Purchasing,Suggestion,Other,Unknown
24496,69316,Undelivered Mail Returned to Sender,"This is the mail system at host frasgout13.his.Company.com. I'm sorry to have to inform you that your message could not be delivered to one or more recipients. It's attached below. For further assistance, please send mail to postmaster. If you do so, please include this problem report. You can delete your own text from the attached returned message. The mail system : host alt1.gmail-smtp-in.l.google.com[142.251.9.27] said: 452-4.2.2 The email account that you tried to reach is over quota. Please direct 452-4.2.2 the recipient to 452 4.2.2 https://support.google.com/mail/?p=OverQuotaTemp v17-*****(PHONE)a*****(PHONE)b*****(PHONE)ef3df09a3si*****(PHONE)edx.371 - gsmtp (in reply to RCPT TO command)",Purchasing,Others,Unknown,Unknown
24470,68803,Akcja Company,"Despite receiving the keys, they misery them.With the previous 10 keys it was alone ... I just didn't record.The next 40 What I wanted to pick up was the same.I will add that I did according to the regulations.Every 24 hours I did 5 commands .. Anyway, it was impossible in a shorter time because it did not include ... only 5 clicks every 24 hours .. And between each attempt to pick up the difference.Not only I have such a problem and contact with Company did not help anything how to collect on a tablet or headphones as the action lasts until September 14 and we have just over 200 points.?I will add that any change of application was made so it was impossible to collect more points ... Do you intend to exchange applications more often or how will it be solved?",Purchasing,Others,Unknown,Unknown
23416,65532,Disdetta,I kindly ask that it is blocked subscription.Thank you,Purchasing,Suggestion,Payment,Subscription cancellation
23389,65457,Unknown,Please cancel registration,Purchasing,Suggestion,Payment,Subscription cancellation
23269,65153,Revoca spesa,I don't want this expense anymore.,Purchasing,Suggestion,Payment,Subscription cancellation
23219,65004,Unknown,"Hi, why did I get an email with a payment in your favor when I actually didn't do anything?Thank you",Purchasing,Suggestion,Payment,Query deduction details
23040,64501,Company Support issue submit,Product: Cloud Requests: Upgrade Cloud Storage Contact Full Name: Pavol Heteš Phone Number: ***** (Phone) Contact Email Address: XXXXXXIX.com Company ID Account: ***** (Phone) Summary of the Issue: Hello.I pay for something that I do not use to cancel the account and the fee for it.Thank you Home |News |EVENTS |Products |Partners |Support Copyright Company se,Purchasing,Suggestion,Payment,Subscription cancellation
23040,64514,RE : Company Support issue submit,"Dear *****(PERSON), Thank you for contacting *****(PERSON). We hope you’re doing well. This email is regarding your concern about the unknown charge on your account. I'll be more than happy to assist you with your inquiry. In this email, I will provide you with the necessary steps. If you run into any issues while following the steps, please keep reading as you will also find below the information we require from you to be able to investigate. If you don’t provide us the necessary information, we may not be able to help you further. The charges you received are likely to be related to a Company service or subscription you have signed up for. If you would like to cancel your subscription, please follow the guideline below: At the moment we do not have the necessary permission to cancel subscriptions on behalf of our users, but I will gladly walk you through the process on how to cancel it. · If you still have a Company phone, you can access cancel all your subscriptions by following these steps: Settings > Account center > Payments & purchases > Subscriptions. Choose the subscription you want to cancel and tap Cancel Subscription. Once the subscription has been canceled, your account will not be charged from the next month onwards. · If you don’t have a Company phone anymore, you can manage all your subscriptions on our online portal following these steps: Go to https://id7.cloud.Company.com/CAS/portal/login.html > Log in > Account Center > Payment and purchases > Subscriptions/Password-free payments and click Remove. If you will access our online portal through your phone's browser, please enable first the desktop site, so you will be able to see the ""Payment and Purchases"" window. If, for any reason, you need further assistance with your inquiry, please send us the following information: 1. You Company ID (Phone number include country code/ Email address): 2. Your request: eg. Cancel Company Cloud subscription/ Cancel Company Music subscriptions/ Cancel Company video subscriptions 3. Proof of transactions: a) If the payment was made with your Bank card Copy of your bank statement showing the charges from *****(PERSON) SE and the last 4 digits of your bank card. b) If the payment was made with your PayPal a. A screenshot of payment with transaction invoice number available c) If the payment was made with your Phone The phone number get charged A screenshot of phone bill showing the charges from *****(PERSON) SE We hope this information is useful and it solves your issue. For further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Madalin *****(PERSON) ",Purchasing,Suggestion,Payment,Query deduction details
23039,64496,Cancel,As I do not use this service and no longer an owner of a Company phone I would like to cancel my membership Sent from Samsung Mobile on O2 Get Outlook for Android,Purchasing,Suggestion,Payment,Subscription cancellation
23039,64500,RE : Cancel,"Dear user, Thank you for contacting us. This email is regarding your concern about the unknown charges. I'll be more than happy to assist you with your inquiry, and I will do my absolute best to help. The charges you received are likely to be related to a Company service or subscription you have signed up for. Judging by the price, this is likely a Company Cloud Subscription. If you would like to cancel your subscription, please follow the guideline below: From your computer, access the official website: login to https://id7.cloud.Company.com/CAS/portal/login.html and go to Payment and purchases > Subscriptions/Password-free payments and touch Remove. Please be aware that if you access the online portal with your Phone, you should first activate the desktop version of the browser. If the subscription disappears from your account, it indicates that it has been canceled successfully. Once canceled, no deduction will be made from your account from the following month onward. If you need further assistance, please provide us the following information, to investigate your account and provide more information around the subscription: 1. Your Company ID (Phone number include country code/ Email address): 2. Your request: e.g., Cancel Company Cloud subscription/ Cancel Company Music subscription/ Cancel Company video subscription 3. Proof of transactions: a) If the payment was made with your Bank card: Copy of your bank statement showing the charges from Company SE and the last 4 digits of your bank card. b) If the payment was made with your PayPal: A screenshot of payment with transaction invoice number available c) If the payment was made with your Phone: The phone number get charged A screenshot of phone bill showing the charges from Company SE If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. We would greatly appreciate your feedback regarding our email exchange, as we need your input to keep improving our service. Therefore, we invite you to fill in the survey that will soon arrive on the email address you used to contact us. Sincerely, Madalin Company ",Purchasing,Suggestion,Payment,Query deduction details
23037,64492,Company ID Abonnement,"Good evening, I have a problem.I have a Company ID account: xxxxx@xxxx.com.I would like to terminate this account and the subscription.Today, 9.50 euros have been collected from my bank account.Unfortunately I don't find this subscription in my Company ID account.Maybe you can help me to cancel the direct debit so that I can delete my Company account.I ask for communication.Sincerely, ***** (per) xxxxx@xxxx.com",Purchasing,Suggestion,Payment,Subscription cancellation
